timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_
2134,0.07470822009559848,0.007282382368258084,0.7754839999999965,4.000000000000002,11.114935716987347,0.19387099999999918,0.18591075712975558,0.9979254920714423,8.72684599705341E-4,0.03659607305453799,0.0018872384102243678,0.05999946594238282,0.020000457763671892,4547.0,-4550.0,-4547.0,4550.0
2139,0.09063878991402152,0.010904939024356887,0.855631999999983,4.000000000000002,13.5465562366159,0.2139079999999958,0.25070079584465843,1.0750319592439412,4.3634229985267046E-4,0.05091696927832716,0.0034988771384426806,0.05999946594238282,0.010000228881835944,4946.0,-4947.0,-4946.0,4947.0
2144,0.09063878991402152,0.010904939024356887,0.855631999999983,4.000000000000002,13.5465562366159,0.2139079999999958,0.25070079584465843,1.0750319592439412,4.3634229985267046E-4,0.05091696927832716,0.0034988771384426806,0.05999946594238282,0.010000228881835944,4946.0,-4947.0,-4946.0,4947.0
2149,0.09063878991402152,0.010904939024356887,0.855631999999983,4.000000000000002,13.5465562366159,0.2139079999999958,0.25070079584465843,1.0750319592439412,4.3634229985267046E-4,0.05091696927832716,0.0034988771384426806,0.049999237060546875,0.010000228881835944,4946.0,-4947.0,-4946.0,4947.0
2154,0.09063878991402152,0.010904939024356887,0.855631999999983,4.000000000000002,13.5465562366159,0.2139079999999958,0.25070079584465843,1.0750319592439412,4.3634229985267046E-4,0.05091696927832716,0.0034988771384426806,0.049999237060546875,0.010000228881835944,4946.0,-4947.0,-4946.0,4947.0
2159,0.10780304524666529,0.015416005003809725,0.9131484571406545,1.0354984893007635,16.165926820107735,0.2338289999999979,0.3175963009385625,1.1221205064442865,0.0,0.06733149827451917,0.00590759267218364,0.049999237060546875,0.0,5226.0,-5226.0,-5226.0,5226.0
2164,0.10780304524666529,0.015416005003809725,0.9131484571406545,1.0354984893007635,16.165926820107735,0.2338289999999979,0.3175963009385625,1.1221205064442865,0.0,0.06733149827451917,0.00590759267218364,0.030000686645507812,0.0,5226.0,-5226.0,-5226.0,5226.0
2169,0.10780304524666529,0.015416005003809725,0.9131484571406545,1.0354984893007635,16.165926820107735,0.2338289999999979,0.3175963009385625,1.1221205064442865,0.0,0.06733149827451917,0.00590759267218364,0.030000686645507812,0.0,5226.0,-5226.0,-5226.0,5226.0
2174,0.10780304524666529,0.015416005003809725,0.9131484571406545,1.0354984893007635,16.165926820107735,0.2338289999999979,0.3175963009385625,1.1221205064442865,0.0,0.06733149827451917,0.00590759267218364,0.030000686645507812,0.0,5226.0,-5226.0,-5226.0,5226.0
2179,0.12548529628651411,0.020843649529828524,0.9337421299125709,0.6018944618639519,18.85907088388306,0.25385800000000747,0.37658051189455216,1.120387346368441,-8.726013759212751E-4,0.0856722107343369,0.009411376509792693,0.010000228881835938,-0.019998550415039056,5298.0,-5295.0,-5298.0,5295.0
2184,0.12548529628651411,0.020843649529828524,0.9337421299125709,0.6018944618639519,18.85907088388306,0.25385800000000747,0.37658051189455216,1.120387346368441,-8.726013759212751E-4,0.0856722107343369,0.009411376509792693,0.010000228881835938,-0.019998550415039056,5298.0,-5295.0,-5298.0,5295.0
2189,0.12548529628651411,0.020843649529828524,0.9337421299125709,0.6018944618639519,18.85907088388306,0.25385800000000747,0.37658051189455216,1.120387346368441,-8.726013759212751E-4,0.0856722107343369,0.009411376509792693,0.010000228881835938,-0.019998550415039056,5298.0,-5295.0,-5298.0,5295.0
2194,0.12548529628651411,0.020843649529828524,0.9337421299125709,0.6018944618639519,18.85907088388306,0.25385800000000747,0.37658051189455216,1.120387346368441,-8.726013759212751E-4,0.0856722107343369,0.009411376509792693,-0.020000457763671875,-0.019998550415039056,5298.0,-5295.0,-5298.0,5295.0
2199,0.1430762303239331,0.02744983237383608,0.9457770096775379,0.6018944618639519,21.508059682723182,0.2738530000000028,0.4343934485933044,1.0983338946693237,-0.0030543128751846266,0.10547797877516388,0.014050291534385802,-0.020000457763671875,-0.06999969482421875,5296.0,-5287.0,-5299.0,5289.0
2204,0.1430762303239331,0.02744983237383608,0.9457770096775379,0.6018944618639519,21.508059682723182,0.2738530000000028,0.4343934485933044,1.0983338946693237,-0.0030543128751846266,0.10547797877516388,0.014050291534385802,-0.020000457763671875,-0.06999969482421875,5296.0,-5287.0,-5299.0,5289.0
